sheet,obj_code,obj_code_name,txn_date,doc_type,doc_number,origin,post_date,ref_doc_number,org_doc_number,entry_description,doc_description,vendor,budget_amount,actuals_amount,encumbrance_amount
1101935 FY24,0932,Budget Adjustment Income Transfer,2024-06-05,TF,B212966,BO,2024-06-05,,2024060450,FY24 BME NEI CANCER ENGR ALLOCATION_ALE,,,0.0,-500000.0,0.0
1101935 FY24,1000,Personal Services-Budget,2024-06-03,BTR,B212966,BO,2024-06-05,,2024060450,FY24 BME NEI CANCER ENGR ALLOCATION_ALE,,,500000.0,0.0,0.0
1101935 FY24,1212,Supp Com Regular App/Fac (ere 4),2024-05-22,LLPE,20240522200001,UE,2024-05-22,,,PAYROLL ENCUMBRANCES,,,0.0,0.0,563.0
1101935 FY24,1212,Supp Com Regular App/Fac (ere 4),2024-05-29,LLPE,20240529200001,MF,2024-05-29,,,PAYROLL ENCUMBRANCES,,,0.0,0.0,-161.0
1101935 FY24,1212,Supp Com Regular App/Fac (ere 4),,LLPR,20240531100001,UE,2024-05-29,,11,NORMAL PAYROLL ACTIVITY,,,0.0,3216.4,0.0
1101935 FY24,1212,Supp Com Regular App/Fac (ere 4),2024-06-12,LLPE,20240612200001,MF,2024-06-12,,,PAYROLL ENCUMBRANCES,,,0.0,0.0,-161.0
1101935 FY24,1212,Supp Com Regular App/Fac (ere 4),2024-06-26,LLPE,20240626200001,MF,2024-06-26,,,PAYROLL ENCUMBRANCES,,,0.0,0.0,-161.0
1101935 FY24,1212,Supp Com Regular App/Fac (ere 4),,LLPR,20240628100001,UE,2024-06-26,,12,NORMAL PAYROLL ACTIVITY,,,0.0,8362.64,0.0
1101935 FY24,1212,Supp Com Regular App/Fac (ere 4),2024-07-10,LLPR,20240712100001,UE,2024-07-10,,12,NORMAL PAYROLL ACTIVITY,,,0.0,3216.4,0.0
1101935 FY24,1212,Supp Com Regular App/Fac (ere 4),2024-07-12,LLPE,20240630200000,MF,2024-07-12,,,PAYROLL ENCUMBRANCES,,,0.0,0.0,-80.0
1101935 FY24,2121,Employee Full-Benefit ERE,2024-05-22,LLPE,20240522200001,UE,2024-05-22,,,PAYROLL ENCUMBRANCES,,,0.0,0.0,180.16
1101935 FY24,2121,Employee Full-Benefit ERE,2024-05-29,LLPE,20240529200001,MF,2024-05-29,,,PAYROLL ENCUMBRANCES,,,0.0,0.0,-51.52
1101935 FY24,2121,Employee Full-Benefit ERE,,LLPR,20240531100001,UE,2024-05-29,,11,NORMAL PAYROLL ACTIVITY,,,0.0,1029.25,0.0
1101935 FY24,2121,Employee Full-Benefit ERE,2024-06-12,LLPE,20240612200001,MF,2024-06-12,,,PAYROLL ENCUMBRANCES,,,0.0,0.0,-51.52
1101935 FY24,2121,Employee Full-Benefit ERE,2024-06-26,LLPE,20240626200001,MF,2024-06-26,,,PAYROLL ENCUMBRANCES,,,0.0,0.0,-51.52
1101935 FY24,2121,Employee Full-Benefit ERE,,LLPR,20240628100001,UE,2024-06-26,,12,NORMAL PAYROLL ACTIVITY,,,0.0,2676.05,0.0
1101935 FY24,2121,Employee Full-Benefit ERE,2024-07-10,LLPR,20240712100001,UE,2024-07-10,,12,NORMAL PAYROLL ACTIVITY,,,0.0,1029.25,0.0
1101935 FY24,2121,Employee Full-Benefit ERE,2024-07-12,LLPE,20240630200000,MF,2024-07-12,,,PAYROLL ENCUMBRANCES,,,0.0,0.0,-25.6
